Question text,Score,Upvotes,Highlighted,Status,User ID,User Name,User company,Sentiment,Submission Date,Submission Time
"I'm stuck waiting for the host to start the zoom meeting, is this only a problem I'm having?",8,8,1,Live,19379fb6af5ccaf8647e2046708dc2dcd90685a6,Anonymous,Anonymous,negative,11/17/2021,15:20:52
same here,0,0,0,Live,a694654067a9d73f548846fa08231ae706e147c5,Anonymous,Anonymous,neutral,11/17/2021,15:21:30
"No, I am having that same problem too, I've closed the zoom window but I keep getting that message too. ",1,1,0,Live,e3780dfe4ea4d1bca947403ef2a6ea9b8c5ee54c,Anonymous,Anonymous,negative,11/17/2021,15:21:49
It is a system wide issue. Other colleagues are stuck in waiting room for their BOF Zoom too.,1,1,0,Live,218426328,Wirawan,,negative,11/17/2021,15:23:12
"Same here, remote Zoom is not working",0,0,0,Live,ed0ac118a8c20285719f2fff63c98362981d5891,Anonymous,Anonymous,negative,11/17/2021,15:23:15
other groups sent different link to zoom. please share with us new link,1,1,0,Live,f1505eac5cbcfab3b040c3a8c6a7b7d3fc1361f8,Anonymous,Anonymous,neutral,11/17/2021,15:26:04
"please use zoom Session ID is 96191811326, passcode is 001628.",5,5,1,Live,218426328,Wirawan,,neutral,11/17/2021,15:26:31
Here's the zoom link: https://hubb-me.zoom.us/j/96191811326?pwd=dS9IUldxNkxKaHJ3MjZCS0NSZGdYdz09,1,1,0,Live,8084cd4f92313e23458fd631b1698d6189bd72b0,Anonymous,Anonymous,neutral,11/17/2021,15:29:08
https://hubb-me.zoom.us/j/96191811326?pwd=dS9IUldxNkxKaHJ3MjZCS0NSZGdYdz09,1,1,0,Live,f1505eac5cbcfab3b040c3a8c6a7b7d3fc1361f8,Anonymous,Anonymous,neutral,11/17/2021,15:29:36
"Here are some of the shared links:
https://github.com/hpc-carpentry
https://carpentries.topicbox.com/groups/discuss-hpc
http://www.hpc-carpentry.org/
",1,1,0,Live,218415588,Annajiat Alim Rasel,,neutral,11/17/2021,15:32:33
"That worked, but the ""Join Online"" should be fixed.",1,1,0,Live,218435253,David Martin,,negative,11/17/2021,15:32:36
basic MPI in C is vaulable,2,2,0,Live,16304debd96e51717114c692b6183355daaff534,Anonymous,Anonymous,neutral,11/17/2021,15:41:54
I would stick with mpi4py,5,5,0,Live,ad82116d3787c96d75dac0f7ea973640f825c5c4,Anonymous,Anonymous,neutral,11/17/2021,15:42:00
"I would say, mpi4py to begin with.",2,2,0,Live,218426328,Wirawan,,neutral,11/17/2021,15:42:30
"MPI with C, C++, and Fortran is still the most commonly used framework for HPC.  So we should teach that along with other things.",2,2,0,Live,c099111da3372b34fc9be32a72e28790692553d3,Anonymous,Anonymous,neutral,11/17/2021,15:43:00
"With a mix and match framework we could have c, Fortran, and Python MPI modules ",1,1,0,Live,218439457,Greg,,neutral,11/17/2021,15:45:33
"DeapSECURE"": https://deapsecure.gitlab.io/

",1,1,0,Live,218415588,Annajiat Alim Rasel,,neutral,11/17/2021,15:47:11
